x,y,angle,step,command
0,0,0,0,B
0.2,0,0,0,B
0.2,0,0,1,L
0.2,0,0.698222,1,L
0.2,0,0.698222,2,B
0.353197,0.128571,0.698222,2,B
0.353197,0.128571,0.698222,3,L
0.353197,0.128571,1.39644,3,L
0.353197,0.128571,1.39644,4,B
0.387891,0.325539,1.39644,4,B
0.387891,0.325539,1.39644,5,L
0.387891,0.325539,2.09467,5,L
0.387891,0.325539,2.09467,6,B
0.287844,0.498717,2.09467,6,B
0.287844,0.498717,2.09467,7,L
0.287844,0.498717,2.79289,7,L
0.287844,0.498717,2.79289,8,B
0.0998809,0.567053,2.79289,8,B
0.0998809,0.567053,2.79289,9,L
0.0998809,0.567053,3.49111,9,L
0.0998809,0.567053,3.49111,10,B
-0.0880266,0.498564,3.49111,10,B
-0.0880266,0.498564,3.49111,11,L
-0.0880266,0.498564,4.18933,11,L
-0.0880266,0.498564,4.18933,12,A
-0.187933,0.325305,4.18933,12,A
-0.187933,0.325305,4.18933,13,R
-0.0880266,0.498564,2.79289,13,R
-0.0880266,0.498564,2.79289,14,A
-0.27599,0.5669,2.79289,14,A
-0.27599,0.5669,2.79289,15,R
0.0998809,0.567053,2.09467,15,R
0.0998809,0.567053,2.09467,16,B
-0.000166118,0.740231,2.09467,16,B
-0.000166118,0.740231,2.09467,17,L
-0.000166118,0.740231,2.79289,17,L
-0.000166118,0.740231,2.79289,18,A
-0.188129,0.808567,2.79289,18,A
-0.188129,0.808567,2.79289,19,R
-0.000166118,0.740231,1.39644,19,R
-0.000166118,0.740231,1.39644,20,A
0.0345279,0.937199,1.39644,20,A
0.0345279,0.937199,1.39644,21,R
0.287844,0.498717,1.39644,21,R
0.287844,0.498717,1.39644,22,B
0.322538,0.695685,1.39644,22,B
0.322538,0.695685,1.39644,23,L
0.322538,0.695685,2.09467,23,L
0.322538,0.695685,2.09467,24,B
0.222491,0.868863,2.09467,24,B
0.222491,0.868863,2.09467,25,L
0.222491,0.868863,2.79289,25,L
0.222491,0.868863,2.79289,26,A
0.0345279,0.937199,2.79289,26,A
0.0345279,0.937199,2.79289,27,R
0.222491,0.868863,1.39644,27,R
0.222491,0.868863,1.39644,28,A
0.257185,1.06583,1.39644,28,A
0.257185,1.06583,1.39644,29,R
0.322538,0.695685,0.698222,29,R
0.322538,0.695685,0.698222,30,B
0.475735,0.824256,0.698222,30,B
0.475735,0.824256,0.698222,31,L
0.475735,0.824256,1.39644,31,L
0.475735,0.824256,1.39644,32,A
0.510429,1.02122,1.39644,32,A
0.510429,1.02122,1.39644,33,R
0.475735,0.824256,-2.22045e-16,33,R
0.475735,0.824256,-2.22045e-16,34,A
0.675735,0.824256,-2.22045e-16,34,A
0.675735,0.824256,-2.22045e-16,35,R
0.387891,0.325539,0.698222,35,R
0.387891,0.325539,0.698222,36,B
0.541088,0.454111,0.698222,36,B
0.541088,0.454111,0.698222,37,L
0.541088,0.454111,1.39644,37,L
0.541088,0.454111,1.39644,38,B
0.575782,0.651078,1.39644,38,B
0.575782,0.651078,1.39644,39,L
0.575782,0.651078,2.09467,39,L
0.575782,0.651078,2.09467,40,B
0.475735,0.824256,2.09467,40,B
0.475735,0.824256,2.09467,41,L
0.475735,0.824256,2.79289,41,L
0.475735,0.824256,2.79289,42,A
0.287772,0.892592,2.79289,42,A
0.287772,0.892592,2.79289,43,R
0.475735,0.824256,1.39644,43,R
0.475735,0.824256,1.39644,44,A
0.510429,1.02122,1.39644,44,A
0.510429,1.02122,1.39644,45,R
0.575782,0.651078,0.698222,45,R
0.575782,0.651078,0.698222,46,B
0.72898,0.77965,0.698222,46,B
0.72898,0.77965,0.698222,47,L
0.72898,0.77965,1.39644,47,L
0.72898,0.77965,1.39644,48,A
0.763674,0.976618,1.39644,48,A
0.763674,0.976618,1.39644,49,R
0.72898,0.77965,0,49,R
0.72898,0.77965,0,50,A
0.92898,0.77965,0,50,A
0.92898,0.77965,0,51,R
0.541088,0.454111,0,51,R
0.541088,0.454111,0,52,B
0.741088,0.454111,0,52,B
0.741088,0.454111,0,53,L
0.741088,0.454111,0.698222,53,L
0.741088,0.454111,0.698222,54,B
0.894286,0.582682,0.698222,54,B
0.894286,0.582682,0.698222,55,L
0.894286,0.582682,1.39644,55,L
0.894286,0.582682,1.39644,56,A
0.92898,0.77965,1.39644,56,A
0.92898,0.77965,1.39644,57,R
0.894286,0.582682,0,57,R
0.894286,0.582682,0,58,A
1.09429,0.582682,0,58,A
1.09429,0.582682,0,59,R
0.741088,0.454111,-0.698222,59,R
0.741088,0.454111,-0.698222,60,B
0.894286,0.325539,-0.698222,60,B
0.894286,0.325539,-0.698222,61,L
0.894286,0.325539,0,61,L
0.894286,0.325539,0,62,A
1.09429,0.325539,0,62,A
1.09429,0.325539,0,63,R
0.894286,0.325539,-1.39644,63,R
0.894286,0.325539,-1.39644,64,A
0.92898,0.128571,-1.39644,64,A
0.92898,0.128571,-1.39644,65,R
0.353197,0.128571,0,65,R
0.353197,0.128571,0,66,B
0.553197,0.128571,0,66,B
0.553197,0.128571,0,67,L
0.553197,0.128571,0.698222,67,L
0.553197,0.128571,0.698222,68,B
0.706395,0.257143,0.698222,68,B
0.706395,0.257143,0.698222,69,L
0.706395,0.257143,1.39644,69,L
0.706395,0.257143,1.39644,70,B
0.741088,0.454111,1.39644,70,B
0.741088,0.454111,1.39644,71,L
0.741088,0.454111,2.09467,71,L
0.741088,0.454111,2.09467,72,B
0.641041,0.627289,2.09467,72,B
0.641041,0.627289,2.09467,73,L
0.641041,0.627289,2.79289,73,L
0.641041,0.627289,2.79289,74,A
0.453078,0.695625,2.79289,74,A
0.453078,0.695625,2.79289,75,R
0.641041,0.627289,1.39644,75,R
0.641041,0.627289,1.39644,76,A
0.675735,0.824256,1.39644,76,A
0.675735,0.824256,1.39644,77,R
0.741088,0.454111,0.698222,77,R
0.741088,0.454111,0.698222,78,B
0.894286,0.582682,0.698222,78,B
0.894286,0.582682,0.698222,79,L
0.894286,0.582682,1.39644,79,L
0.894286,0.582682,1.39644,80,A
0.92898,0.77965,1.39644,80,A
0.92898,0.77965,1.39644,81,R
0.894286,0.582682,0,81,R
0.894286,0.582682,0,82,A
1.09429,0.582682,0,82,A
1.09429,0.582682,0,83,R
0.706395,0.257143,0,83,R
0.706395,0.257143,0,84,B
0.906395,0.257143,0,84,B
0.906395,0.257143,0,85,L
0.906395,0.257143,0.698222,85,L
0.906395,0.257143,0.698222,86,B
1.05959,0.385714,0.698222,86,B
1.05959,0.385714,0.698222,87,L
1.05959,0.385714,1.39644,87,L
1.05959,0.385714,1.39644,88,A
1.09429,0.582682,1.39644,88,A
1.09429,0.582682,1.39644,89,R
1.05959,0.385714,0,89,R
1.05959,0.385714,0,90,A
1.25959,0.385714,0,90,A
1.25959,0.385714,0,91,R
0.906395,0.257143,-0.698222,91,R
0.906395,0.257143,-0.698222,92,B
1.05959,0.128571,-0.698222,92,B
1.05959,0.128571,-0.698222,93,L
1.05959,0.128571,0,93,L
1.05959,0.128571,0,94,A
1.25959,0.128571,0,94,A
1.25959,0.128571,0,95,R
1.05959,0.128571,-1.39644,95,R
1.05959,0.128571,-1.39644,96,A
1.09429,-0.0683964,-1.39644,96,A
1.09429,-0.0683964,-1.39644,97,R
0.553197,0.128571,-0.698222,97,R
0.553197,0.128571,-0.698222,98,B
0.706395,0,-0.698222,98,B
0.706395,0,-0.698222,99,L
0.706395,0,0,99,L
0.706395,0,0,100,B
0.906395,0,0,100,B
0.906395,0,0,101,L
0.906395,0,0.698222,101,L
0.906395,0,0.698222,102,B
1.05959,0.128571,0.698222,102,B
1.05959,0.128571,0.698222,103,L
1.05959,0.128571,1.39644,103,L
1.05959,0.128571,1.39644,104,A
1.09429,0.325539,1.39644,104,A
1.09429,0.325539,1.39644,105,R
1.05959,0.128571,0,105,R
1.05959,0.128571,0,106,A
1.25959,0.128571,0,106,A
1.25959,0.128571,0,107,R
0.906395,0,-0.698222,107,R
0.906395,0,-0.698222,108,B
1.05959,-0.128571,-0.698222,108,B
1.05959,-0.128571,-0.698222,109,L
1.05959,-0.128571,0,109,L
1.05959,-0.128571,0,110,A
1.25959,-0.128571,0,110,A
1.25959,-0.128571,0,111,R
1.05959,-0.128571,-1.39644,111,R
1.05959,-0.128571,-1.39644,112,A
1.09429,-0.325539,-1.39644,112,A
1.09429,-0.325539,-1.39644,113,R
0.706395,0,-1.39644,113,R
0.706395,0,-1.39644,114,B
0.741088,-0.196968,-1.39644,114,B
0.741088,-0.196968,-1.39644,115,L
0.741088,-0.196968,-0.698222,115,L
0.741088,-0.196968,-0.698222,116,B
0.894286,-0.325539,-0.698222,116,B
0.894286,-0.325539,-0.698222,117,L
0.894286,-0.325539,0,117,L
0.894286,-0.325539,0,118,A
1.09429,-0.325539,0,118,A
1.09429,-0.325539,0,119,R
0.894286,-0.325539,-1.39644,119,R
0.894286,-0.325539,-1.39644,120,A
0.92898,-0.522507,-1.39644,120,A
0.92898,-0.522507,-1.39644,121,R
0.741088,-0.196968,-2.09467,121,R
0.741088,-0.196968,-2.09467,122,B
0.641041,-0.370146,-2.09467,122,B
0.641041,-0.370146,-2.09467,123,L
0.641041,-0.370146,-1.39644,123,L
0.641041,-0.370146,-1.39644,124,A
0.675735,-0.567114,-1.39644,124,A
0.675735,-0.567114,-1.39644,125,R
0.641041,-0.370146,-2.79289,125,R
0.641041,-0.370146,-2.79289,126,A
0.453078,-0.438482,-2.79289,126,A
0.453078,-0.438482,-2.79289,127,R
0.2,0,-0.698222,127,R
0.2,0,-0.698222,128,B
0.353197,-0.128571,-0.698222,128,B
0.353197,-0.128571,-0.698222,129,L
0.353197,-0.128571,0,129,L
0.353197,-0.128571,0,130,B
0.553197,-0.128571,0,130,B
0.553197,-0.128571,0,131,L
0.553197,-0.128571,0.698222,131,L
0.553197,-0.128571,0.698222,132,B
0.706395,0,0.698222,132,B
0.706395,0,0.698222,133,L
0.706395,0,1.39644,133,L
0.706395,0,1.39644,134,B
0.741088,0.196968,1.39644,134,B
0.741088,0.196968,1.39644,135,L
0.741088,0.196968,2.09467,135,L
0.741088,0.196968,2.09467,136,B
0.641041,0.370146,2.09467,136,B
0.641041,0.370146,2.09467,137,L
0.641041,0.370146,2.79289,137,L
0.641041,0.370146,2.79289,138,A
0.453078,0.438482,2.79289,138,A
0.453078,0.438482,2.79289,139,R
0.641041,0.370146,1.39644,139,R
0.641041,0.370146,1.39644,140,A
0.675735,0.567114,1.39644,140,A
0.675735,0.567114,1.39644,141,R
0.741088,0.196968,0.698222,141,R
0.741088,0.196968,0.698222,142,B
0.894286,0.325539,0.698222,142,B
0.894286,0.325539,0.698222,143,L
0.894286,0.325539,1.39644,143,L
0.894286,0.325539,1.39644,144,A
0.92898,0.522507,1.39644,144,A
0.92898,0.522507,1.39644,145,R
0.894286,0.325539,0,145,R
0.894286,0.325539,0,146,A
1.09429,0.325539,0,146,A
1.09429,0.325539,0,147,R
0.706395,0,0,147,R
0.706395,0,0,148,B
0.906395,0,0,148,B
0.906395,0,0,149,L
0.906395,0,0.698222,149,L
0.906395,0,0.698222,150,B
1.05959,0.128571,0.698222,150,B
1.05959,0.128571,0.698222,151,L
1.05959,0.128571,1.39644,151,L
1.05959,0.128571,1.39644,152,A
1.09429,0.325539,1.39644,152,A
1.09429,0.325539,1.39644,153,R
1.05959,0.128571,0,153,R
1.05959,0.128571,0,154,A
1.25959,0.128571,0,154,A
1.25959,0.128571,0,155,R
0.906395,0,-0.698222,155,R
0.906395,0,-0.698222,156,B
1.05959,-0.128571,-0.698222,156,B
1.05959,-0.128571,-0.698222,157,L
1.05959,-0.128571,0,157,L
1.05959,-0.128571,0,158,A
1.25959,-0.128571,0,158,A
1.25959,-0.128571,0,159,R
1.05959,-0.128571,-1.39644,159,R
1.05959,-0.128571,-1.39644,160,A
1.09429,-0.325539,-1.39644,160,A
1.09429,-0.325539,-1.39644,161,R
0.553197,-0.128571,-0.698222,161,R
0.553197,-0.128571,-0.698222,162,B
0.706395,-0.257143,-0.698222,162,B
0.706395,-0.257143,-0.698222,163,L
0.706395,-0.257143,0,163,L
0.706395,-0.257143,0,164,B
0.906395,-0.257143,0,164,B
0.906395,-0.257143,0,165,L
0.906395,-0.257143,0.698222,165,L
0.906395,-0.257143,0.698222,166,B
1.05959,-0.128571,0.698222,166,B
1.05959,-0.128571,0.698222,167,L
1.05959,-0.128571,1.39644,167,L
1.05959,-0.128571,1.39644,168,A
1.09429,0.0683964,1.39644,168,A
1.09429,0.0683964,1.39644,169,R
1.05959,-0.128571,0,169,R
1.05959,-0.128571,0,170,A
1.25959,-0.128571,0,170,A
1.25959,-0.128571,0,171,R
0.906395,-0.257143,-0.698222,171,R
0.906395,-0.257143,-0.698222,172,B
1.05959,-0.385714,-0.698222,172,B
1.05959,-0.385714,-0.698222,173,L
1.05959,-0.385714,0,173,L
1.05959,-0.385714,0,174,A
1.25959,-0.385714,0,174,A
1.25959,-0.385714,0,175,R
1.05959,-0.385714,-1.39644,175,R
1.05959,-0.385714,-1.39644,176,A
1.09429,-0.582682,-1.39644,176,A
1.09429,-0.582682,-1.39644,177,R
0.706395,-0.257143,-1.39644,177,R
0.706395,-0.257143,-1.39644,178,B
0.741088,-0.454111,-1.39644,178,B
0.741088,-0.454111,-1.39644,179,L
0.741088,-0.454111,-0.698222,179,L
0.741088,-0.454111,-0.698222,180,B
0.894286,-0.582682,-0.698222,180,B
0.894286,-0.582682,-0.698222,181,L
0.894286,-0.582682,0,181,L
0.894286,-0.582682,0,182,A
1.09429,-0.582682,0,182,A
1.09429,-0.582682,0,183,R
0.894286,-0.582682,-1.39644,183,R
0.894286,-0.582682,-1.39644,184,A
0.92898,-0.77965,-1.39644,184,A
0.92898,-0.77965,-1.39644,185,R
0.741088,-0.454111,-2.09467,185,R
0.741088,-0.454111,-2.09467,186,B
0.641041,-0.627289,-2.09467,186,B
0.641041,-0.627289,-2.09467,187,L
0.641041,-0.627289,-1.39644,187,L
0.641041,-0.627289,-1.39644,188,A
0.675735,-0.824256,-1.39644,188,A
0.675735,-0.824256,-1.39644,189,R
0.641041,-0.627289,-2.79289,189,R
0.641041,-0.627289,-2.79289,190,A
0.453078,-0.695625,-2.79289,190,A
0.453078,-0.695625,-2.79289,191,R
0.353197,-0.128571,-1.39644,191,R
0.353197,-0.128571,-1.39644,192,B
0.387891,-0.325539,-1.39644,192,B
0.387891,-0.325539,-1.39644,193,L
0.387891,-0.325539,-0.698222,193,L
0.387891,-0.325539,-0.698222,194,B
0.541088,-0.454111,-0.698222,194,B
0.541088,-0.454111,-0.698222,195,L
0.541088,-0.454111,0,195,L
0.541088,-0.454111,0,196,B
0.741088,-0.454111,0,196,B
0.741088,-0.454111,0,197,L
0.741088,-0.454111,0.698222,197,L
0.741088,-0.454111,0.698222,198,B
0.894286,-0.325539,0.698222,198,B
0.894286,-0.325539,0.698222,199,L
0.894286,-0.325539,1.39644,199,L
0.894286,-0.325539,1.39644,200,A
0.92898,-0.128571,1.39644,200,A
0.92898,-0.128571,1.39644,201,R
0.894286,-0.325539,0,201,R
0.894286,-0.325539,0,202,A
1.09429,-0.325539,0,202,A
1.09429,-0.325539,0,203,R
0.741088,-0.454111,-0.698222,203,R
0.741088,-0.454111,-0.698222,204,B
0.894286,-0.582682,-0.698222,204,B
0.894286,-0.582682,-0.698222,205,L
0.894286,-0.582682,0,205,L
0.894286,-0.582682,0,206,A
1.09429,-0.582682,0,206,A
1.09429,-0.582682,0,207,R
0.894286,-0.582682,-1.39644,207,R
0.894286,-0.582682,-1.39644,208,A
0.92898,-0.77965,-1.39644,208,A
0.92898,-0.77965,-1.39644,209,R
0.541088,-0.454111,-1.39644,209,R
0.541088,-0.454111,-1.39644,210,B
0.575782,-0.651078,-1.39644,210,B
0.575782,-0.651078,-1.39644,211,L
0.575782,-0.651078,-0.698222,211,L
0.575782,-0.651078,-0.698222,212,B
0.72898,-0.77965,-0.698222,212,B
0.72898,-0.77965,-0.698222,213,L
0.72898,-0.77965,0,213,L
0.72898,-0.77965,0,214,A
0.92898,-0.77965,0,214,A
0.92898,-0.77965,0,215,R
0.72898,-0.77965,-1.39644,215,R
0.72898,-0.77965,-1.39644,216,A
0.763674,-0.976618,-1.39644,216,A
0.763674,-0.976618,-1.39644,217,R
0.575782,-0.651078,-2.09467,217,R
0.575782,-0.651078,-2.09467,218,B
0.475735,-0.824256,-2.09467,218,B
0.475735,-0.824256,-2.09467,219,L
0.475735,-0.824256,-1.39644,219,L
0.475735,-0.824256,-1.39644,220,A
0.510429,-1.02122,-1.39644,220,A
0.510429,-1.02122,-1.39644,221,R
0.475735,-0.824256,-2.79289,221,R
0.475735,-0.824256,-2.79289,222,A
0.287772,-0.892592,-2.79289,222,A
0.287772,-0.892592,-2.79289,223,R
0.387891,-0.325539,-2.09467,223,R
0.387891,-0.325539,-2.09467,224,B
0.287844,-0.498717,-2.09467,224,B
0.287844,-0.498717,-2.09467,225,L
0.287844,-0.498717,-1.39644,225,L
0.287844,-0.498717,-1.39644,226,B
0.322538,-0.695685,-1.39644,226,B
0.322538,-0.695685,-1.39644,227,L
0.322538,-0.695685,-0.698222,227,L
0.322538,-0.695685,-0.698222,228,B
0.475735,-0.824256,-0.698222,228,B
0.475735,-0.824256,-0.698222,229,L
0.475735,-0.824256,2.22045e-16,229,L
0.475735,-0.824256,2.22045e-16,230,A
0.675735,-0.824256,2.22045e-16,230,A
0.675735,-0.824256,2.22045e-16,231,R
0.475735,-0.824256,-1.39644,231,R
0.475735,-0.824256,-1.39644,232,A
0.510429,-1.02122,-1.39644,232,A
0.510429,-1.02122,-1.39644,233,R
0.322538,-0.695685,-2.09467,233,R
0.322538,-0.695685,-2.09467,234,B
0.222491,-0.868863,-2.09467,234,B
0.222491,-0.868863,-2.09467,235,L
0.222491,-0.868863,-1.39644,235,L
0.222491,-0.868863,-1.39644,236,A
0.257185,-1.06583,-1.39644,236,A
0.257185,-1.06583,-1.39644,237,R
0.222491,-0.868863,-2.79289,237,R
0.222491,-0.868863,-2.79289,238,A
0.0345279,-0.937199,-2.79289,238,A
0.0345279,-0.937199,-2.79289,239,R
0.287844,-0.498717,-2.79289,239,R
0.287844,-0.498717,-2.79289,240,B
0.0998809,-0.567053,-2.79289,240,B
0.0998809,-0.567053,-2.79289,241,L
0.0998809,-0.567053,-2.09467,241,L
0.0998809,-0.567053,-2.09467,242,B
-0.000166118,-0.740231,-2.09467,242,B
-0.000166118,-0.740231,-2.09467,243,L
-0.000166118,-0.740231,-1.39644,243,L
-0.000166118,-0.740231,-1.39644,244,A
0.0345279,-0.937199,-1.39644,244,A
0.0345279,-0.937199,-1.39644,245,R
-0.000166118,-0.740231,-2.79289,245,R
-0.000166118,-0.740231,-2.79289,246,A
-0.188129,-0.808567,-2.79289,246,A
-0.188129,-0.808567,-2.79289,247,R
0.0998809,-0.567053,-3.49111,247,R
0.0998809,-0.567053,-3.49111,248,B
-0.0880266,-0.498564,-3.49111,248,B
-0.0880266,-0.498564,-3.49111,249,L
-0.0880266,-0.498564,-2.79289,249,L
-0.0880266,-0.498564,-2.79289,250,A
-0.27599,-0.5669,-2.79289,250,A
-0.27599,-0.5669,-2.79289,251,R
-0.0880266,-0.498564,-4.18933,251,R
-0.0880266,-0.498564,-4.18933,252,A
-0.187933,-0.325305,-4.18933,252,A
